[2026-02-15 11:43:08] VALE3.SA: HOLD → BUY | Razão: Tendência bullish confirmada: MA20 acima da MA50
[2026-02-15 11:52:59] 🟢 VALE3.SA: HOLD → BUY
Razão: MA20 acima da MA50
Entrada R$ 87.03 | Stop R$ 81.40 | Conf 95%
[2026-02-15 13:12:21] 🟢 NOVA POSIÇÃO: VALE3.SA @ R$87.03 (size: 70%)
[2026-02-15 13:12:21] 🟢 NOVA POSIÇÃO: PETR4.SA @ R$36.89 (size: 70%)
[2026-02-15 13:12:21] 🟢 NOVA POSIÇÃO: WEGE3.SA @ R$53.80 (size: 70%)
[2026-02-15 13:12:21] 🟢 NOVA POSIÇÃO: ITUB4.SA @ R$47.77 (size: 70%)
[2026-02-15 13:12:21] 🟢 NOVA POSIÇÃO: BBDC4.SA @ R$20.97 (size: 70%)
[2026-02-15 13:12:21] 🟢 NOVA POSIÇÃO: BBAS3.SA @ R$25.43 (size: 70%)
[2026-02-15 13:12:21] 🟢 NOVA POSIÇÃO: ABEV3.SA @ R$16.35 (size: 70%)
[2026-02-15 13:12:21] 🟢 NOVA POSIÇÃO: B3SA3.SA @ R$17.46 (size: 70%)
[2026-02-15 13:12:21] 🟢 NOVA POSIÇÃO: RENT3.SA @ R$51.44 (size: 50%)
[2026-02-15 13:12:21] 🟢 NOVA POSIÇÃO: MGLU3.SA @ R$10.23 (size: 50%)
[2026-02-15 13:12:21] 🟢 NOVA POSIÇÃO: GGBR4.SA @ R$21.65 (size: 50%)
[2026-02-15 13:12:21] 🟢 NOVA POSIÇÃO: ASAI3.SA @ R$9.90 (size: 50%)
